Location, Mass, Year, Long, Lat
Charsonville,27000,1810,47.93333,1.56667
Indarch,27000,1891,39.75,46.66667
Forest Vale,26000,1942,-33.35,146.85833
Desuri,25400,1962,25.73333,73.61667
St-Robert,25400,1994,45.96861,-72.97806
Juromenha,25250,1968,38.74028,-7.27
Wold Cottage,25000,1795,54.13667,-0.41333
Cabezo de Mayo,25000,1870,37.98333,-1.16667
Bursa,25000,1946,40.2,29.23333
Bilanga,25000,1999,12.45,-0.08333
Benguerir,25000,2004,32.25,-8.15
Meester-Cornelis,24750,1915,-6.23333,106.88333
Rasgrad,24700,1740,43.5,26.53333
A��r,24000,1925,19.08333,8.38333
Campos Sales,23680,1991,-7.03333,-40.16667
Perpeti,23474,1935,23.325,91
Pillistfer,23250,1863,58.66667,25.73333
Nakhon Pathom,23200,1923,13.73333,100.08333
Fuhe,23000,1945,31.47556,113.56694
Mez̦-Madaras,22700,1852,46.5,25.73333
Mangwendi,22300,1934,-17.65,31.6
Karkh,22000,1905,27.8,67.16667
Gualeguaych̼,22000,1932,-33,-58.61667
Bath,21000,1892,45.41667,-98.31667
Tauti,21000,1937,46.71667,23.5
Jartai,20500,1979,39.7,105.8
Conquista,20350,1965,-19.85,-47.55
Vouill̩,20000,1831,46.63333,0.16667
Hessle,20000,1869,59.85,17.66667
Tjabe,20000,1869,-7.08333,111.53333
Ergheo,20000,1889,1.16667,44.16667
Uzcudun,20000,1948,-44.11667,-66.15
Seoni,20000,1966,21.68389,79.50083
Ankhediya Mota,20000,1985,22.35556,73.575
Ourique,20000,1998,37.60833,-8.28
Tysnes Island,19860,1884,60,5.61667
New Orleans,19256,2003,29.94718,-90.10976
Mauerkirchen,19000,1768,48.18333,13.13333
Beni M'hira,19000,2001,32.86667,10.8
Kilabo,19000,2002,12.76667,9.8
Shelburne,18600,1904,44.05,-80.16667
Chajari,18300,1933,-30.78333,-58.05
Bachmut,18000,1814,48.6,38
Girgenti,18000,1853,37.31667,13.56667
Palinshih,18000,1914,43.48333,118.61667
B̩r̩ba,18000,1924,11.65,-3.65
Dahmani,18000,1981,35.61667,8.83333
Park Forest,18000,2003,41.48472,-87.67917
Andura,17900,1939,20.88333,76.86667
Niederreissen,17700,1581,51.06667,11.36667
Fisher,17600,1894,47.81667,-96.85
Quija,17450,1990,44.61667,126.13333
Reliegos,17300,1947,42.475,-5.33333
El Paso de Aguila,17226,1977,25.37,-97.37
N'Kandhla,17200,1912,-28.56667,30.7
Sone,17100,1866,35.16667,135.33333
Mount Vaisi,17000,1637,44.08333,6.86667
St. Michel,17000,1910,61.65,27.2
Cumberland Falls,17000,1919,36.83333,-84.35
Naoki,17000,1928,19.25,77
Lost City,17000,1970,36.00833,-95.15
Oum Dreyga,17000,2003,24.3,-13.1
Kasauli,16820,2003,29.58333,77.58333
Miller (Arkansas),16700,1930,35.4,-92.05
Ban Rong Du,16700,1993,16.66667,101.18333
Oldenburg (1930),16570,1930,52.95,8.16667
Kr�_henberg,16500,1869,49.32694,7.46472
Tjerebon,16500,1922,-6.66667,106.58333
Demina,16400,1911,51.46667,84.76667
Forsyth,16300,1829,33.01667,-83.96667
Ohaba,16250,1857,46.06667,23.58333
Beardsley,16000,1929,39.8,-101.2
Baszk�_wka,15500,1994,52.03333,20.93583
