Location, Mass, Year, Long, Lat
M�_ssing,1600,1803,48.13333,12.61667
Dolgovoli,1600,1864,50.75,25.3
Gopalpur,1600,1865,24.23333,89.05
Sitathali,1600,1875,20.91667,82.58333
Warrenton,1600,1877,38.68333,-91.15
Middlesbrough,1600,1881,54.56667,-1.16667
Cilimus,1600,1979,-6.95,108.1
Kaprada,1600,2004,20.33916,73.22329
Huaxi,1600,2010,26.46469,106.63241
Selakopi,1590,1939,-7.23333,107.33333
Bawku,1557,1989,11.08333,-0.18333
Worden,1551,1997,42.38467,-83.6115
Kisvars��ny,1550,1914,48.16667,22.30833
Haver̦,1544,1971,60.24556,22.06194
Burnwell,1504,1990,37.62194,-82.23722
Kharkov,1500,1787,50.625,35.075
Macau,1500,1836,-5.2,-36.66667
Esnandes,1500,1837,46.25,-1.1
Favars,1500,1844,44.38333,2.81667
Bustee,1500,1852,26.78333,82.83333
Stavropol,1500,1857,45.05,41.98333
Vernon County,1500,1865,43.5,-91.16667
Moti-ka-nagla,1500,1868,26.83333,77.33333
Angra dos Reis (stone),1500,1869,-22.96667,-44.31667
Urasaki,1500,1926,34.48333,133.28333
Breitscheid,1500,1956,50.66694,8.18361
Kiffa,1500,1970,16.58333,-11.33333
Katagum,1500,1999,11.33333,10.08333
Bheenwal,1470,1865,25.15,73.06667
Ellemeet,1470,1925,51.75,4
Cranganore,1460,1917,10.2,76.26667
Hallingeberg,1456,1944,57.81667,16.23333
Sinai,1455,1916,30.9,32.48333
Claxton,1455,1984,32.1025,-81.87278
Maryville,1443,1983,35.8,-84.1
Berlanguillas,1440,1811,41.68333,-3.8
Aguila Blanca,1440,1920,-30.86667,-64.55
Palca de Aparzo,1430,1988,-23.11667,-65.1
Holetta,1415,1923,9.06667,38.41667
Oesede,1400,1927,52.28333,8.05
Canon City,1400,1973,38.47028,-105.24139
Ngawi,1393,1883,-7.45,111.41667
Atoka,1384.2,1945,34.31667,-96.15
Caswell County,1360,1810,36.5,-79.25
Boriskino,1342,1930,54.23333,52.48333
Gyokukei,1320,1930,35,127.5
Rio Negro,1310,1934,-26.1,-49.8
Vissannapeta,1303.8,1997,16.83333,80.75
Glanggang,1303,1939,-7.25,107.7
Mornans,1300,1875,44.6,5.13333
Ashdon,1300,1923,52.05,0.3
Mezel,1300,1949,45.76667,3.25
Ishinga,1300,1954,-8.93333,33.8
Louisville,1300,1977,38.25,-85.75
Kamsagar,1293,1902,14.18333,75.8
Lanxi,1282,1986,46.24167,126.19611
Atarra,1280,1920,25.25417,80.625
Qidong,1275,1982,32.08333,121.5
Usti Nad Orlici,1269,1963,49.975,16.375
Sharps,1265,1921,37.83333,-76.7
Sabetmahet,1250,1855,27.43333,82.08333
Hassi-Jekna,1250,1890,28.95,0.81667
Dosso,1250,1962,13.05,3.16667
Trebbin,1250,1988,52.21667,13.16667
Muzaffarpur,1245,1964,26.13333,85.53333
Avce,1230,1908,46,13.5
Simmern,1222,1920,49.98333,7.53333
Oued el Hadjar,1215.5,1986,30.18,-6.57717
Cosina,1200,1844,21.16667,-100.86667
Iguaracu,1200,1977,-23.2,-51.83333
Pirthalla,1161,1884,29.58333,76
Douar Mghila,1161,1932,32.33333,-6.3
Devri-Khera,1140,1994,24.225,76.525
Hashima,1110.6,1910,35.2945,136.70033
Glastonbury,1100,1806,51.13333,-2.71667
Basingstoke,1100,1806,51.26667,-1.08333
Simonod,1100,1835,46.08333,5.33333
Chandpur,1100,1885,27.28333,79.05
Nyir��brany,1100,1914,47.55,22.025
Beyrout,1100,1921,33.88333,35.5
Mtola,1100,1944,-11.5,33.5
Mianchi,1100,1980,34.8,111.7
So��tmany,1066,2011,54.00883,22.005
Daniel's Kuil,1064,1868,-28.2,24.56667
Launton,1060,1830,51.9,-1.11667
Norfork,1050,1918,36.21667,-92.26667
Bhola,1047,1940,22.68333,90.65
Minamino,1040,1632,35.07833,136.93333
Bishunpur,1039,1895,25.38333,82.6
Toulouse,1030,1812,43.6,1.4
Ceniceros,1025,1988,26.46667,-105.23333
Troup,1020,1917,32.16667,-95.1
Valdinizza,1004,1903,44.86667,9.15
Novy-Projekt,1001,1908,56,22
Renazzo,1000,1824,44.76667,11.28333
Mascombes,1000,1836,45.36667,1.86667
Gr�_neberg,1000,1841,51.93333,15.5
G�_tersloh,1000,1851,51.91667,8.38333
Heredia,1000,1857,10,-84.1
Lodran,1000,1868,29.53333,71.8
Haraiya,1000,1878,26.8,82.53333
Diep River,1000,1906,-33.75,18.56667
Bali,1000,1907,5.38333,16.38333
Unkoku,1000,1924,34.8,127
Mamra Springs,1000,1927,45.21667,62.08333
Madhipura,1000,1950,25.91667,86.36667
St. Louis,1000,1950,38.7,-90.23333
Aioun el Atrouss,1000,1974,16.39806,-9.57028
Uchkuduk,1000,1989,41.76667,62.51667
Tahara,1000,1991,34.72,137.305
Sutter's Mill,992.5,2012,38.80389,-120.90806
Tandil,980,1918,-37.36667,-59.33333
Torino,977,1988,45.06667,7.66667
Jajh deh Kot Lalu,973,1926,26.75,68.41667
Guidder,968,1949,9.91667,13.98333
Berthoud,960,2004,40.30583,-105.02325
Sopot,958,1927,44.41667,23.5
Kalaba,950,1951,-6.83333,29.5
Junan,950,1976,35.2,118.8
Ca̱ellas,945,1861,41.25,1.66667
Ṣo Jose do Rio Preto,927,1962,-20.81,-49.38056
Ratyn,910,1880,52.2,17.98333
Adzhi-Bogdo (stone),910,1949,44.83333,95.16667
Alessandria,908,1860,44.88333,8.75
Tan̩,905,1918,35.43333,136.23333
Tomatlan,900,1879,20.16667,-105.21667
Pricetown,900,1893,39.11667,-83.85
Lahrauli,900,1955,26.78333,82.71667
Luotolax,885,1813,61.2,27.7
Independence,880,1917,39.08333,-94.4
Leighton,877,1907,34.58333,-87.5
Meuselbach,870,1897,50.58333,11.1
Senboku,866,1993,39.43833,140.51167
Ski,850,1848,59.73333,10.86667
Krutikha,845.2,1906,56.8,77
Pirgunje,842,1882,25.8,88.45
Ottawa,840,1896,38.6,-95.21667
Ekh Khera,840,1916,28.26667,78.78333
Majorca,824,1935,39.45,2.81667
Suchy Dul,815.3,1969,50.53806,16.26333
Arbol Solo,810,1954,-33,-66
Malvern,807,1933,-29.45,26.76667
Aubres,800,1836,44.38333,5.16667
Lavrentievka,800,1938,52.45,51.56667
Parsa,800,1942,26.2,85.4
Tsukuba,800,1996,36.06333,140.145
Beddgelert,794,1949,53.01667,-4.1
Le Teilleul,780,1845,48.53333,-0.86667
Achiras,780,1902,-33.16667,-64.95
Akaba,779,1949,29.51667,35.05
Kilbourn,772,1911,43.58333,-89.6
Glatton,767,1991,52.45972,-0.3
Bradford Woods,762,1886,40.5,-80.08333
Higashi-koen,750,1897,33.6,130.43333
Tyumen,750,1903,57.16667,65.53333
Capilla del Monte,750,1934,-30.88333,-64.55
Vetluga,750,1949,57.8,45.8
Nyaung,737.6,1939,21.20833,94.91667
Kiel,737.6,1962,54.4,10.15
Geidam,725,1950,12.91667,11.91667
Takenouchi,720,1880,35.38333,134.9
Lausanne,720,1894,46.51667,6.63333
Aarhus,720,1951,56.18333,10.23333
Uden,710,1840,51.65,5.61667
Kasamatsu,710,1938,35.36667,136.76667
Chervettaz,705,1901,46.55,6.81667
Black Moshannan Park,705,1941,40.91667,-78.08333
Ivuna,704.5,1938,-8.41667,32.43333
Aldsworth,700,1835,51.78333,-1.78333
St. Denis Westrem,700,1855,51.05,3.75
Leonovka,700,1900,52.26667,32.85
Al Zarnkh,700,2001,13.66033,28.96
Sasagase,695,1688,34.71667,137.78333
Semarkona,691,1940,22.25,79
Grzempach,690,1910,52.86667,16.63333
Palolo Valley,682,1949,21.3,-157.78333
Elbert,680.5,1998,39.24667,-104.58817
Harrison County,680,1859,38.25,-86.16667
Judesegeri,680,1876,12.85,76.8
Bhawad,678,2002,26.50833,73.11528
Glanerbrug,670,1990,52.2,6.86667
Rich Mountain,668,1903,35.03333,-83.03333
Ponta Grossa,667,1846,-25.08333,-50.15
Magombedze,666.6,1990,-19.48333,31.65
Po-wang Chen,665,1933,31.41667,118.5
Frankfort (stone),650,1868,34.48333,-87.83333
Dowa,642,1976,-13.66667,33.91667
Trysil,640,1927,61.3,12.3
Sungach,637,1935,44.86667,133.16667
Mor��vka,633,2000,49.6,18.53333
Sixiangkou,630,1989,32.43333,119.86667
Banten,629,1933,-6.33333,106
Alberta,625,1949,2,22.66667
Botschetschki,614,1823,51.33333,33.88333
Baxter,611,1916,36.75,-93.5
Sheyang,605,1976,33.65,120.06667
Tomakovka,600,1905,47.85,34.76667
Tomita,600,1916,34.5,133.75
Mafra,600,1941,-26.16667,-49.93333
Andreevka,600,1969,48.7,37.5
Viterbo,594,1474,42.41667,12.11667
Visuni,594,1915,25.45,70
Duruma,577,1853,-4,39.5
Kakowa,577,1858,45.13333,21.66667
Pulsora,560,1863,23.36667,75.18333
Birni N'konni,560,1923,13.76667,5.3
Minnichhof,550,1905,47.7,16.6
Mabwe-Khoywa,540,1937,19,97
Nantong,529,1984,32.11667,121.8
Paitan,515,1910,17.74333,120.45583
Borodino,500,1812,55.46667,35.86667
Montlivault,500,1838,47.63333,1.58333
Phu Hong,500,1887,11.25,108.58333
Essebi,500,1957,2.88333,30.83333
Puerto L��pice,500,2007,39.35,-3.51667
Lishui,498,1978,31.63333,118.98333
Little Piney,491,1839,37.91667,-92.08333
Binningup,488.1,1984,-33.15639,115.67639
Noblesville,483.7,1991,40.08528,-86.055
Jolomba,483,1974,-11.85,15.83333
Git-Git,480,1947,9.6,9.91667
Sabrum,478,1999,23.08333,91.66667
Cali,478,2007,3.405,-76.51
Nogata,472,861,33.725,130.75
Blansko,470,1833,49.36667,16.63333
Malampaka,470,1930,-3.13333,33.51667
Coleman,469,1994,43.76111,-84.50778
Nio,467,1897,34.2,131.56667
Ruhobobo,465.5,1976,-1.45,29.83333
Leeuwfontein,460,1912,-25.66667,28.36667
San Pedro Jacuaro,460,1968,19.76667,-100.65
Kulak,453.6,1961,30.73111,66.80222
Kheragur,450,1860,26.95,77.88333
Kamiomi,448,1913,36.04167,139.95667
Domanitch,438,1907,40,29
Sayama,430,1986,35.86667,139.4
Neagari,420,1995,36.44917,136.46528
Hiroshima,414,2003,34.45,132.38333
Sazovice,412,1934,49.23333,17.56667
Roda,400,1871,42.3,0.55
Santa Barbara,400,1873,-29.2,-51.86667
Madrid,400,1896,40.41667,-3.71667
Kangra Valley,400,1897,32.08333,76.3
Madiun,400,1935,-7.75,111.53333
Distrito Quebracho,400,1957,-31.88333,-60.46667
La Charca,399,1878,20.66667,-101.28333
Feid Chair,380,1875,36.88333,8.45
Garhi Yasin,380,1917,27.88333,68.53333
Bells,375,1961,33.6,-96.46667
Lalitpur,372,1887,24.45,78.56667
Narellan,367.5,1928,-34.05,150.68889
Chiang Khan,367,1981,17.9,101.63333
Numakai,363,1925,43.33333,141.86667
St. Caprais-de-Quinsac,360,1883,44.75,0.05
Trom��y,357.4,1950,58.47333,8.86667
Bununu,357,1942,10.01667,9.58333
Renqiu,355,1916,38.66667,116.13333
Calce,350,1635,45.5,11.5
Mhow,350,1827,25.9,83.61667
Pokhra,350,1866,26.71667,82.66667
Kakangari,350,1890,12.38333,78.51667
Sete Lagoas,350,1908,-19.46667,-44.21667
Wethersfield (1971),350,1971,41.7,-72.65
Nassirah,347,1936,-21.73333,165.9
Baldwyn,345,1922,34.5,-88.66667
Thal,342,1950,33.4,70.6
Carancas,342,2007,-16.66444,-69.04389
Lumpkin,340,1869,32.03333,-84.76667
Rochester,340,1876,41.08333,-86.28333
De Cewsville,340,1887,43,-80
Mariaville,340,1898,42.71667,-99.38333
Kijima (1906),331,1906,36.85,138.38333
Lorton,329.7,2010,38.70066,-77.21163
Bunburra Rockhole,324,2007,-31.35,129.19
Aomori,320,1984,40.81056,140.78556
Haripura,315,1921,28.38333,75.78333
H̦kmark,305.5,1954,64.43333,21.2
Chicora,303,1938,40.93333,-79.73333
Dyalpur,300,1872,26.25,82
Rancho de la Presa,300,1899,19.86667,-100.81667
Renca,300,1925,-32.75,-65.28333
Kandahar (Afghanistan),299,1959,31.6,65.78333
Ranchapur,290.4,1917,23.98333,87.08333
Guibga,288,1972,13.5,-0.68333
Schenectady,283.3,1968,42.86083,-73.95028
San Pedro de Quiles,282,1956,-31.01667,-71.4
��pinal,277,1822,48.18333,6.46667
Leighlinbridge,271.4,1999,52.66667,-6.96667
Berduc,270,2008,-31.91,-58.32833
Hoxie,266.1,1963,39.35,-100.45
Athens,265,1933,34.75,-87
Torrington,259.1,1944,42.06667,-104.16667
Pollen,253.6,1942,66.34833,14.015
Alby sur Ch̩ran,252,2002,45.82133,6.01533
Noyan-Bogdo,250,1933,42.91667,102.46667
Oter��y,246,1928,58.88333,9.4
Forsbach,240,1900,50.95,7.31667
Sedik̦y,240,1917,38.3,27.13333
Komagome,238,1926,35.73333,139.75
San Michele,237,2002,43.66667,13
Kirkland,232.4,1955,47.69306,-122.17028
Kaee,230,1838,27.25,79.96667
Donga Kohrod,230,1899,21.86667,82.45
Tirupati,230,1934,13.63333,79.41667
Denver,230,1967,39.7825,-104.93056
Washougal,225,1939,45.58333,-122.35
Mike,224.2,1944,46.23333,17.53333
Jiange,222,1964,31.91667,104.91667
Mauritius,220,1801,-20,57
Ferguson,220,1889,36.1,-81.41667
Brient,219,1933,52.13333,59.31667
Curvello,218,1833,-18.8,-44.61667
Grimsby,215,2009,43.2,-79.61667
Lakangaon,212.5,1910,21.86667,76.03333
Cacak,212,1919,43.83889,20.33333
Oviedo,205,1856,43.4,-5.86667
Kitchener,202.6,1998,43.38333,-80.38333
Kikino,195,1809,55,34
Okabe,194,1958,36.18333,139.21667
Ufana,189.2,1957,-4.26667,35.35
P̩t̬lkol̩,189,1995,14.052,0.42
Dyarrl Island,188,1933,-3,151
Sevilla,180,1862,37.41667,-6
Karewar,180,1949,12.9,7.15
Hotse,180,1956,35.66667,115.5
Orlando,180,2004,28.5475,-81.36222
Noventa Vicentina,177,1971,45.29167,11.52722
Hoima,167.7,2003,1.345,31.47278
Cross Roads,167,1892,35.63333,-78.13333
Wolamo,166.4,1964,9,39
Peramiho,165,1899,-10.66667,35.5
Al Rais,160,1957,24.41667,39.51667
Torgau,157,1561,51.56667,13.05
Pontlyfni,157,1931,53.03639,-4.31944
Malaga,150,1933,32.21667,-104
Seldebourak,150,1947,22.83333,4.98333
Molteno,150,1953,-31.25,26.46667
Avilez,146,1855,25,-103.5
Pavlodar (stone),142.5,1938,52.3,77.03333
Killeter,140,1844,54.66667,-7.66667
Kobe,136,1999,34.73333,135.16667
Palmyra,135,1926,39.8,-91.5
St.-Chinian,134.3,1959,43.43333,2.95
Awere,134,1968,2.71667,32.83333
Galapian,132.7,1826,44.3,0.4
Emmaville,127,1900,-29.46667,151.61667
Les Ormes,125,1857,48.35,3.25
Klagenfurt,123,1849,46.63333,14.3
Ovambo,121.5,1900,-18,16
Peckelsheim,117.8,1953,51.66667,9.25
Undulung,113.4,1986,66.13889,124.76667
Erakot,113,1940,19.03333,81.89167
Hungen,112,1877,50.3,8.91667
Erevan,107.2,1911,40.3,44.5
Nawapali,105,1890,21.25,83.66667
Rivolta de Bassi,103.3,1491,45.48333,9.51667
Garland,102,1950,41.68333,-112.13333
Mjelleim,100.7,1898,61.73333,5.93333
Darmstadt,100,1804,49.86667,8.65
Punganaru,100,1811,13.33333,78.95
Umbala,100,1822,30.33333,76.33333
Khetri,100,1867,28.01667,75.81667
Bherai,100,1893,20.83333,71.46667
Rampurhat,100,1916,24.16667,87.76667
Jodiya,100,2006,22.68,70.31333
Kirbyville,97.7,1906,30.75,-95.95
Pnompehn,96,1868,11.58333,104.91667
Atemajac,94.2,1896,20.06667,-103.66667
Castine,94,1848,44.38333,-68.75
Konovo,90,1931,42.51667,26.16667
Turtle Lake,89.3,1996,45.34583,-92.05167
Kadonah,89,1822,27.08333,78.33333
Fenghsien-Ku,82,1924,34.6,116.75
Crescent,78.4,1936,35.95,-97.58333
Ulmiz,76.5,1926,46.93333,7.21667
Soheria,72.9,1960,27.13333,84.06667
Chetrinahatti,72,1880,14.5,76.5
Moradabad,70,1808,28.78333,78.83333
Bloomington,67.8,1938,40.48,-89.00417
Kingai,67.4,1967,11.63333,24.68333
Rumuruti,67,1934,0.26667,36.53333
Witsand Farm,66,1932,-28.66667,18.91667
Quincay,65,1851,46.6,0.25
Salem,61.4,1981,44.97917,-122.96944
Santa Cruz,60,1939,24.16667,-99.33333
Bocas,56,1804,23,-102
San Juan Capistrano,56,1973,33.48472,-117.6625
Sologne,54,1860,47.36667,1.73333
Manegaon,50,1843,20.96667,76.1
Stratford,50,1974,41.2,-73.13333
Yakushima,46.5,1902,30.33333,130.5
Centerville,45.6,1956,43.2,-96.91667
Grefsheim,45.5,1976,60.66667,11
Kurumi,44,,34.68333,135.11667
Salzwedel,43,1985,52.75,11.05
Mineo,42,1826,37.28333,14.7
Asco,41,1805,42.45,9.03333
Vago,40,1668,45.41667,11.13333
Ploschkovitz,39,1723,50.53333,14.11667
Piquetberg,37,1881,-32.86667,18.71667
Galim (a),36.1,1952,7.05,12.43333
Igast,35,1855,57.83333,26.26667
Medanitos,31,1953,-27.25,-67.5
Jodzie,30,1877,55.7,24.4
Dunbogan,30,1999,-31.66667,152.83333
Eaton,29.5,1931,40.51667,-104.68333
Menziswyl,28.9,1903,46.81867,7.21817
Gurram Konda,28,1814,13.78333,78.56667
Deal,28,1829,40.25,-74
Galim (b),28,1952,7.05,12.43333
Tomiya,27.5,1984,38.36667,140.86556
Maribo,25.81,2009,54.76183,11.46745
Mulletiwu,25.5,1795,9.33333,80.83333
Los Martinez,25,1894,38,-0.83333
St. Mary's County,24.3,1919,38.16667,-76.38333
Barnaul,23.2,1904,52.73333,84.08333
Kutais,23,1977,44.51667,39.3
Meerut,22,1861,29.01667,77.8
Jamkheir,22,1866,18.75,75.33333
Witklip Farm,22,1918,-26,30
Nagaria,20,1875,26.98333,78.21667
Red Canyon Lake,18.41,2007,38.13742,-119.75812
Bhagur,18,1877,20.88333,74.83333
Barntrup,17,1886,52,9.1
Brianza,14,1760,45.75,9.25
Banswal,14,1913,30.4,78.2
Bethlehem,13.9,1859,42.53333,-73.83333
Tunguska,13.4,1908,60.9,101.95
Piancaldoli,13.1,1968,44.24417,11.50222
Patti,12,1922,38.13333,14.96667
Orange River (stone),8,1887,-29.66667,24.21667
Caratash,8,1902,38.5,27
Tonk,7.7,1911,24.65,76.86667
Ras Tanura,6.1,1961,26.66667,50.15
Kusiali,5,1860,29.68333,78.38333
Perth,2,1830,56.4,-3.43333
Kochi,1.6,1949,33.545,133.54806
Revelstoke,1,1965,51.33333,-118.95
Delhi,0.8,1897,28.56667,77.25
Sakurayama,0.8,1935,35.16667,136.91667
Chail,0.5,1814,25.36667,81.66667
Hachi-oji,0.2,1817,35.65,139.33333
Silistra,0.15,1917,44.11667,27.26667
Vilna,0.1,1967,54.225,-111.69167
Lucania,0,-56,40.5,16
Thrace,0,452,41.66667,25
Soweida,0,856,32.71667,36.56667
Ahmedabad,0,892,32.08333,44.33333
Narni,0,921,42.51667,12.51667
Augsburg (952),0,952,48.36667,10.88333
Magdeburg,0,998,52.13333,11.63333
Juzjanan,0,1009,34.36667,62.13333
Aglar,0,1112,45.78333,13.36667
Oldisleben,0,1135,51.3,11.18333
Meissen,0,1164,51.15,13.46667
Mons,0,1186,50.45,3.95
Quedlinburg,0,1249,51.78333,11.13333
Velikoi-Ustyug,0,1250,60.78333,46.36667
Aidin,0,1340,37.83333,27.8
Oldenburg (1368),0,1368,52.95,8.16667
Minden,0,1379,52.3,8.91667
Roa,0,1438,41.73333,-3.93333
Valdinoce,0,1496,44.06667,12.1
Crema,0,1511,45.35,9.7
Brussels,0,1520,50.86667,4.36667
Oliva-Gandia,0,1520,39,-0.03333
Augsburg (1528),0,1528,48.36667,10.88333
Naunhof,0,1540,51.28333,12.58333
Limousin,0,1540,45.6,1.5
Schleusingen,0,1552,50.51667,10.76667
Miskolcz,0,1559,48.11667,20.8
N̦rten,0,1580,51.63333,9.95
Piedmont,0,1583,44.91667,8
Crevalcore,0,1596,44.71667,11.16667
Steiermark,0,1618,47,15
Charleroi,0,1634,50.4,4.46667
Sagan,0,1636,51.53333,14.88333
Ofen,0,1642,47.8,18.75
Stolzenau,0,1647,52.53333,9.05
P̦lau,0,1647,50.71667,12.48333
Dordrecht (iron),0,1650,51.8,4.65
F�_nen,0,1654,55.33333,10.33333
Novy-Ergi,0,1662,58.55,31.33333
Glarus,0,1674,47.05,9.06667
Copinsay,0,1676,58.9,-2.68333
Ermendorf,0,1677,51.3,13.55
Pentolina,0,1697,43.2,11.16667
Walkringen,0,1698,46.95,7.63333
Dorpat,0,1704,58.4,26.6
Barcelona (stone),0,1704,41.36667,2.16667
Kloster Schefftlar,0,1722,48.4,11.73333
Carpentras,0,1738,44.05,5.05
Nicorps,0,1750,49.03333,-1.43333
Aire-sur-la-Lys,0,1769,50.66667,2.33333
Owrucz,0,1775,51.33333,28.83333
Fabriano,0,1776,43.31667,12.93333
Pettiswood,0,1779,53.53333,-7.33333
Beeston,0,1780,52.93333,-1.21667
Castel Berardenga,0,1791,43.35,11.5
Loch Tay,0,1802,56.53333,-4.16667
East Norton,0,1803,52.55,-0.83333
Constantinople,0,1805,41.05,28.91667
Dordrecht (stone),0,1808,51.8,4.65
Pulrose,0,1813,54.25,-4.5
Malpas,0,1813,53.01667,-2.85
Massa-Lubrense,0,1819,40.6,14.33333
Carlstadt,0,1822,59.36667,13.51667
Angers,0,1822,47.46667,-0.55
Oriang,0,1825,24,76
Myhee Caunta,0,1842,23.05,72.63333
Cardiff,0,1842,51.46667,-3.16667
Picote,0,1843,41.36667,-6.23333
Rio Mocoreta,0,1844,-30.61667,-57.96667
Barcelona (iron),0,1850,41.36667,2.16667
Prince of Wales's Straits,0,1850,73.5,-115
Civitavecchia,0,1855,42.08333,11.78333
Iowa City,0,1861,41.65,-91.51667
Le Gould's Stone,0,1864,-23.41667,148.91667
Kansas City (1876),0,1876,39.1,-94.63333
Ipacaray,0,1877,-25.3,-57.26667
Grazac,0,1885,45.18333,4.28333
Palenca de Baixo,0,1894,39,-9
Hyderabad (1898),0,1898,17.36667,78.46667
Alwal,0,1901,17.36667,78.46667
Palahatchie,0,1910,32.31667,-89.71667
Bezerros,0,1915,-8.3,-36.1
Sk̴ne-Tran̴s,0,1922,58,15
Villarrica,0,1925,-25.83333,-56.5
Gaj,0,1927,52.52639,21.42917
Aba,0,1927,35.95,140.4
Mulino,0,1927,45.21667,-122.56667
Wuzhi,0,1931,35.13333,113.33333
Malotas,0,1931,-28.93333,-63.23333
Gao (Mali),0,1932,16.3,0
Hyderabad (1936),0,1936,17.36667,78.46667
Arundu,0,1936,35.86667,75.33333
Belville,0,1937,-32.33333,-64.86667
Tulung Dzong,0,1944,30,90.75
Fort Flatters,0,1944,28.25,7
Ibrisim,0,1949,38,35
Monze,0,1950,-15.96667,27.35
Lusaka,0,1951,-7.21667,29.43333
Khenteisky,0,1952,49.2,113.46667
Gdynia,0,1959,54.58333,18.66667
Gao-Guenie,0,1960,11.65,-2.18333
Chitado,0,1966,-17.35,13.96667
Dunhua,0,1976,43.33333,128.25
Guangnan,0,1983,24.1,105
P̻,0,1989,11.33367,-3.54217
Gasseltepaoua,0,2000,14.15083,-2.04167
Langeac,0,,45.1,3.51667
Alto Verde,0,,-33.11667,-68.33333
El Marplatense,0,,-37.98333,-57.63333
Mar del Plata,0,,-38,-57.53333
Menabilly,0,,50.31667,-4.66667
Daoukro,0,,7.08333,-3.96667
Baydon,0,,51.51667,-1.6
London,0,,51.51667,-0.16667
