Place,Type of meteorite,"Mass, g",Fell/found?,Year,Database,Coordinate 1,Coordinates 2
Hoba,"Iron, IVB","60,000,000",Found,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=11890,-19.58333,17.91667
Cape York,"Iron, IIIAB","58,200,000",Found,1818,http://www.lpi.usra.edu/meteor/metbull.php?code=5262,76.13333,-64.93333
Campo del Cielo,"Iron, IAB-MG","50,000,000",Found,1576,http://www.lpi.usra.edu/meteor/metbull.php?code=5247,-27.46667,-60.58333
Canyon Diablo,"Iron, IAB-MG","30,000,000",Found,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=5257,35.05,-111.03333
Armanty,"Iron, IIIE","28,000,000",Found,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=2335,47,88
Gibeon,"Iron, IVA","26,000,000",Found,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=10912,-25.5,18
Chupaderos,"Iron, IIIAB","24,300,000",Found,1852,http://www.lpi.usra.edu/meteor/metbull.php?code=5363,27,-105.1
Mundrabilla,"Iron, IAB-ung","24,000,000",Found,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=16852,-30.78333,127.55
Sikhote-Alin,"Iron, IIAB","23,000,000",Fell,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=23593,46.16,134.65333
Bacubirito,"Iron, ungrouped","22,000,000",Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=4919,26.2,-107.83333
Mbosi,"Iron, ungrouped","16,000,000",Found,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=15456,-9.11667,33.06667
Willamette,"Iron, IIIAB","15,500,000",Found,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=24269,45.36667,-122.58333
Morito,"Iron, IIIAB","10,100,000",Found,1600,http://www.lpi.usra.edu/meteor/metbull.php?code=16745,27.05,-105.43333
Nantan,"Iron, IAB-MG","9,500,000",Found,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=16906,25.1,107.7
